userId,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
330,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
331,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0
332,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0
333,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1
334,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0
335,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1
336,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
337,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1
338,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
339,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
340,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1
341,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
343,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
344,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
345,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
346,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
347,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1
348,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
349,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0
350,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
351,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1
352,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1
353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
354,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1
355,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
356,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0
357,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1
358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
359,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1
360,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
361,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
362,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
364,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1
365,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
366,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1
367,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
368,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0
369,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
370,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
371,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
372,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0
373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
374,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1
375,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1
376,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1
377,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0
378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
379,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1
380,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
381,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
383,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
385,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
386,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
387,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
389,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
390,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
391,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
392,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0
393,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
394,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
395,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1
396,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
397,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
398,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
399,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0
400,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
401,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1
402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
403,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0
404,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
406,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
407,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
409,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
410,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1
411,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0
412,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
413,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0
414,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
415,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0
416,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1
417,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
418,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
419,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
420,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
421,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
422,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1
423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0
425,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1
426,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
429,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1
430,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
432,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
435,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0
436,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0
437,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0
438,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1
439,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
440,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1
441,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1
442,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
443,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1
444,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
445,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
446,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
447,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
448,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1
449,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0
450,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1
451,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1
452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
453,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0
454,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
455,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0
456,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1
457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1
459,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
460,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
461,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
464,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0
465,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
467,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1
468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
469,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0
470,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1
471,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
473,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0
474,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
476,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
477,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0
478,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1
479,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1
480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
481,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
482,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0
483,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
484,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0
485,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
487,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
488,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1
489,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
490,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0
491,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
492,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
493,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
494,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0
495,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0
496,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
497,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
498,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
499,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1
500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
502,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
503,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1
504,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0
505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
506,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0
507,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0
508,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
510,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
511,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1
512,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0
513,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0
514,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
515,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0
516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
517,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0
518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
519,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
520,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
521,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
522,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
523,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1
524,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1
525,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
526,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
527,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
528,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
530,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
531,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
532,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1
533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
534,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
535,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
536,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
538,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1
539,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0
540,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0
541,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0
542,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1
543,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
544,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
545,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
546,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0
547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
548,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
549,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
551,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
552,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0
553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
554,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1
555,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0
556,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0
557,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0
558,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
559,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
560,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
561,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
562,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
565,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0
566,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
567,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0
568,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
569,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
570,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
571,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0
572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
573,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0
574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
576,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
577,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
578,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0
579,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0
580,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
581,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0
582,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
583,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
585,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
586,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1
587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
588,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
589,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0
590,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
591,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
593,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
594,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0
595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
598,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
600,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0
601,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0
602,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
603,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
604,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
606,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1
607,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
610,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
611,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
612,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1
613,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1
614,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
616,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
618,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0
619,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
620,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
621,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1
622,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
623,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
625,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
626,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
629,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0
630,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
631,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1
632,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0
633,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0
634,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1
635,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
636,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0
637,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0
638,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
639,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
640,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
641,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
642,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1
643,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
644,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0
645,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0
646,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
648,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
649,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
650,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
651,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0
652,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
653,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
655,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
656,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
657,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0
658,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1
659,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
660,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
